file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
RES0014	27.71	27.64	2	0	0	57	71	59	71	2	2	2	2	9	13	9	13
RES0015	26.69	26.69	1	0	0	51	60	52	60	0	0	0	0	19	27	19	27
RES0016	25.53	25.45	1	0	0	57	67	58	67	4	5	4	5	14	19	14	19
RES0017	18.11	17.99	2	0	0	64	68	66	68	1	1	1	1	18	21	18	21
RES0018	18.09	18.02	2	0	1	55	58	56	58	2	2	2	2	7	10	7	10
RES0019	23.42	23.42	0	0	0	49	52	49	52	3	3	3	3	11	18	11	18
RES0020	15.12	15.12	0	0	0	50	52	50	52	1	1	1	1	6	11	6	11
RES0021	17.15	17.15	0	0	0	58	61	58	61	3	3	3	3	11	15	11	15
RES0022	20.89	20.89	1	0	0	39	41	39	41	2	2	2	2	6	8	6	8
RES0023	32.44	32.53	0	0	1	12	15	12	15	0	1	0	1	7	15	7	15
RES0024	30.54	30.54	0	0	0	26	29	26	29	2	2	2	2	4	6	4	6
RES0025	18.00	18.00	0	0	0	14	14	14	14	1	1	1	1	20	23	20	23
RES0026	16.20	16.07	2	0	0	62	64	64	64	3	3	3	3	14	14	14	14
RES0027	23.85	23.85	0	0	0	43	46	43	46	0	0	0	0	9	9	9	9
RES0028	26.60	26.60	0	0	0	16	19	16	19	7	9	7	9	7	13	7	13
RES0029	23.46	23.21	2	0	0	26	37	28	37	7	7	7	7	3	9	3	9
RES0030	16.06	16.06	0	0	0	25	26	25	26	0	0	0	0	7	12	7	12
RES0031	19.56	19.56	0	0	0	34	35	34	35	4	4	4	4	5	8	5	8
RES0032	28.92	29.00	0	0	1	12	17	12	17	1	1	1	1	4	9	4	9
RES0033	31.13	31.05	1	0	0	33	43	34	43	4	4	4	4	6	7	6	7
RES0034	14.54	14.60	1	0	0	44	52	45	52	3	3	3	3	22	24	22	24
RES0035	14.64	14.64	0	0	0	30	31	30	31	0	0	0	0	8	13	8	13
RES0036	17.44	17.44	0	0	0	38	38	38	38	0	0	0	0	12	18	12	18
RES0037	19.94	19.94	0	0	0	26	30	26	30	4	5	4	5	12	12	12	12
