subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	assemblyai	RES0187	1303	1275	145	197
benchmark_results_cloud_figshare-osce	assemblyai	RES0189	1439	1397	144	221
benchmark_results_cloud_figshare-osce	assemblyai	RES0191	927	905	88	123
benchmark_results_cloud_figshare-osce	assemblyai	RES0192	1280	1243	134	185
benchmark_results_cloud_figshare-osce	assemblyai	RES0197	966	943	114	149
benchmark_results_cloud_figshare-osce	assemblyai	RES0196	943	910	108	171
benchmark_results_cloud_figshare-osce	assemblyai	RES0190	1290	1263	117	167
benchmark_results_cloud_figshare-osce	assemblyai	RES0198	857	833	75	111
benchmark_results_cloud_figshare-osce	assemblyai	RES0194	1395	1339	170	240
benchmark_results_cloud_figshare-osce	assemblyai	RES0200	1351	1316	179	244
benchmark_results_cloud_figshare-osce	assemblyai	RES0195	1335	1297	133	194
benchmark_results_cloud_figshare-osce	assemblyai	RES0203	920	895	93	134
benchmark_results_cloud_figshare-osce	assemblyai	RES0201	1059	1024	133	175
benchmark_results_cloud_figshare-osce	assemblyai	RES0193	1431	1382	171	248
benchmark_results_cloud_figshare-osce	assemblyai	RES0199	1152	1118	133	181
benchmark_results_cloud_figshare-osce	assemblyai	RES0204	995	959	103	163
benchmark_results_cloud_figshare-osce	assemblyai	RES0207	818	789	91	145
benchmark_results_cloud_figshare-osce	assemblyai	RES0209	1108	1062	124	195
benchmark_results_cloud_figshare-osce	assemblyai	RES0205	1049	1009	114	183
benchmark_results_cloud_figshare-osce	assemblyai	RES0212	1304	1238	104	217
benchmark_results_cloud_figshare-osce	assemblyai	RES0202	1522	1472	193	273
benchmark_results_cloud_figshare-osce	assemblyai	RES0211	1415	1355	181	278
benchmark_results_cloud_figshare-osce	assemblyai	RES0206	1354	1309	194	255
benchmark_results_cloud_figshare-osce	assemblyai	RES0210	1139	1119	116	152
benchmark_results_cloud_figshare-osce	assemblyai	RES0215	1386	1329	121	214
benchmark_results_cloud_figshare-osce	assemblyai	RES0208	1322	1254	164	259
benchmark_results_cloud_figshare-osce	assemblyai	RES0214	1123	1093	93	143
benchmark_results_cloud_figshare-osce	assemblyai	RES0213	1485	1383	146	280
benchmark_results_cloud_figshare-osce	azure	CAR0002	1067	1043	49	88
benchmark_results_cloud_figshare-osce	azure	CAR0004	920	896	70	117
benchmark_results_cloud_figshare-osce	azure	CAR0001	1053	1027	54	101
benchmark_results_cloud_figshare-osce	assemblyai	RES0217	1486	1424	99	201
benchmark_results_cloud_figshare-osce	azure	GAS0001	1033	984	89	181
